day,month,year,category,number of vehicles,number of sites
4,3,2020,6,3404,1
4,3,2020,7,226,1
3,3,2020,1,37,1
3,3,2020,2,29567,1
3,3,2020,3,4394,1
3,3,2020,4,497,1
3,3,2020,5,1100,1
3,3,2020,6,3358,1
3,3,2020,7,189,1
1,3,2020,1,28,1
1,3,2020,2,24974,1
1,3,2020,3,1595,1
1,3,2020,4,412,1
1,3,2020,5,178,1
1,3,2020,6,666,1
1,3,2020,7,73,1
2,3,2020,1,22,1
2,3,2020,2,28486,1
2,3,2020,3,4395,1
2,3,2020,4,496,1
2,3,2020,5,997,1
2,3,2020,6,3102,1
2,3,2020,7,212,1
31,3,2020,1,24,1
31,3,2020,2,4765,1
31,3,2020,3,1161,1
31,3,2020,4,56,1
31,3,2020,5,272,1
31,3,2020,6,359,1
31,3,2020,7,80,1
30,3,2020,1,33,1
30,3,2020,2,4813,1
30,3,2020,3,1231,1
30,3,2020,4,63,1
30,3,2020,5,235,1
30,3,2020,6,319,1
30,3,2020,7,98,1
19,3,2020,1,64,1
19,3,2020,2,10609,1
19,3,2020,3,2216,1
19,3,2020,4,81,1
19,3,2020,5,488,1
19,3,2020,6,488,1
19,3,2020,7,159,1
24,3,2020,1,44,1
24,3,2020,2,8856,1
24,3,2020,3,2155,1
24,3,2020,4,91,1
24,3,2020,5,459,1
24,3,2020,6,438,1
24,3,2020,7,201,1
29,3,2020,1,9,1
29,3,2020,2,2513,1
29,3,2020,3,389,1
29,3,2020,4,30,1
29,3,2020,5,33,1
29,3,2020,6,67,1
29,3,2020,7,44,1
28,3,2020,1,27,1
28,3,2020,2,4527,1
28,3,2020,3,775,1
28,3,2020,4,63,1
28,3,2020,5,86,1
28,3,2020,6,168,1
28,3,2020,7,122,1
27,3,2020,1,51,1
27,3,2020,2,9149,1
27,3,2020,3,2218,1
27,3,2020,4,79,1
27,3,2020,5,392,1
27,3,2020,6,413,1
27,3,2020,7,188,1
26,3,2020,1,52,1
26,3,2020,2,8158,1
26,3,2020,3,1918,1
26,3,2020,4,81,1
26,3,2020,5,472,1
26,3,2020,6,417,1
26,3,2020,7,174,1
25,3,2020,1,33,1
25,3,2020,2,8050,1
25,3,2020,3,1914,1
25,3,2020,4,71,1
25,3,2020,5,446,1
25,3,2020,6,401,1
25,3,2020,7,173,1
23,3,2020,1,46,1
23,3,2020,2,8914,1
23,3,2020,3,2112,1
23,3,2020,4,87,1
23,3,2020,5,455,1
23,3,2020,6,437,1
23,3,2020,7,182,1
