day,month,year,category,number of vehicles,number of sites,,19718.82095
23,2,2019,4,42900,313,,
23,2,2019,5,72795,313,,
23,2,2019,6,117532,313,,
23,2,2019,7,31575,313,,
24,2,2019,0,562,313,,
24,2,2019,1,20516,313,,
24,2,2019,2,5173246,313,,
24,2,2019,3,377345,313,,
24,2,2019,4,37435,313,,
24,2,2019,5,30947,313,,
24,2,2019,6,62027,313,,
24,2,2019,7,18828,313,,
25,2,2019,0,1021,313,,
25,2,2019,1,23830,313,,
25,2,2019,2,5784621,313,,
25,2,2019,3,831646,313,,
25,2,2019,4,49429,313,,
25,2,2019,5,192003,313,,
25,2,2019,6,344117,313,,
25,2,2019,7,34973,313,,
26,2,2019,0,981,313,,
26,2,2019,1,25956,313,,
26,2,2019,2,5887169,313,,
26,2,2019,3,847588,313,,
26,2,2019,4,50700,313,,
26,2,2019,5,203448,313,,
26,2,2019,6,356659,313,,
26,2,2019,7,35762,313,,
27,2,2019,0,987,313,,
27,2,2019,1,25360,313,,
27,2,2019,2,5978384,313,,
27,2,2019,3,863720,313,,
27,2,2019,4,51290,313,,
27,2,2019,5,207142,313,,
27,2,2019,6,366756,313,,
27,2,2019,7,38079,313,,
28,2,2019,0,1090,315,,
28,2,2019,1,23872,315,,
28,2,2019,2,6175020,315,,
28,2,2019,3,891407,315,,
28,2,2019,4,53366,315,,
28,2,2019,5,212829,315,,
28,2,2019,6,364776,315,,
28,2,2019,7,38348,315,,
1,3,2019,0,968,315,,
1,3,2019,1,25418,315,,
1,3,2019,2,6507227,315,,
1,3,2019,3,880418,315,,
1,3,2019,4,57304,315,,
1,3,2019,5,203259,315,,
1,3,2019,6,356100,315,,
1,3,2019,7,37068,315,,
2,3,2019,0,277,315,,
2,3,2019,1,18277,315,,
2,3,2019,2,5269915,315,,
2,3,2019,3,503052,315,,
2,3,2019,4,45173,315,,
2,3,2019,5,70815,315,,
2,3,2019,6,126585,315,,
2,3,2019,7,29273,315,,
3,3,2019,0,205,315,,
3,3,2019,1,13212,315,,
3,3,2019,2,4849833,315,,
3,3,2019,3,347819,315,,
3,3,2019,4,38389,315,,
3,3,2019,5,32948,315,,
3,3,2019,6,64477,315,,
3,3,2019,7,17959,315,,
4,3,2019,0,756,315,,
4,3,2019,1,19615,315,,
4,3,2019,2,5733043,315,,
4,3,2019,3,830222,315,,
4,3,2019,4,51756,315,,
4,3,2019,5,195420,315,,
4,3,2019,6,354544,315,,
4,3,2019,7,33851,315,,
5,3,2019,0,797,316,,
5,3,2019,1,21112,316,,
5,3,2019,2,5863589,316,,
5,3,2019,3,856046,316,,
5,3,2019,4,53400,316,,
5,3,2019,5,205320,316,,
5,3,2019,6,367336,316,,
5,3,2019,7,36224,316,,
6,3,2019,0,669,316,,
6,3,2019,1,21786,316,,
6,3,2019,2,5989984,316,,
6,3,2019,3,876163,316,,
6,3,2019,4,55631,316,,
6,3,2019,5,211144,316,,
6,3,2019,6,366889,316,,
6,3,2019,7,36989,316,,
7,3,2019,0,635,317,,
7,3,2019,1,22865,317,,
7,3,2019,2,6190032,317,,
7,3,2019,3,895803,317,,
7,3,2019,4,55250,317,,
7,3,2019,5,214826,317,,
7,3,2019,6,371044,317,,
7,3,2019,7,37133,317,,
8,3,2019,0,611,317,,
8,3,2019,1,23085,317,,
8,3,2019,2,6522464,317,,
8,3,2019,3,898888,317,,
8,3,2019,4,58169,317,,
8,3,2019,5,207379,317,,
8,3,2019,6,358503,317,,
8,3,2019,7,35949,317,,
9,3,2019,0,374,317,,
9,3,2019,1,19251,317,,
9,3,2019,2,5446793,317,,
9,3,2019,3,522747,317,,
9,3,2019,4,46111,317,,
9,3,2019,5,74117,317,,
9,3,2019,6,128029,317,,
9,3,2019,7,31031,317,,
10,3,2019,0,192,317,,
10,3,2019,1,13827,317,,
10,3,2019,2,4864487,317,,
10,3,2019,3,363147,317,,
10,3,2019,4,39184,317,,
10,3,2019,5,31646,317,,
10,3,2019,6,65038,317,,
10,3,2019,7,17837,317,,
11,3,2019,0,985,319,,
11,3,2019,1,21062,319,,
11,3,2019,2,5830710,319,,
11,3,2019,3,844876,319,,
11,3,2019,4,54068,319,,
11,3,2019,5,197198,319,,
11,3,2019,6,357874,319,,
11,3,2019,7,34975,319,,
12,3,2019,0,648,319,,
12,3,2019,1,20365,319,,
12,3,2019,2,5746587,319,,
12,3,2019,3,846981,319,,
12,3,2019,4,51942,319,,
12,3,2019,5,204968,319,,
12,3,2019,6,362333,319,,
12,3,2019,7,34036,319,,
13,3,2019,0,648,322,,
13,3,2019,1,21621,322,,
13,3,2019,2,5991402,322,,
13,3,2019,3,873854,322,,
13,3,2019,4,53759,322,,
13,3,2019,5,207986,322,,
13,3,2019,6,354742,322,,
13,3,2019,7,33944,322,,
14,3,2019,0,613,322,,
14,3,2019,1,22639,322,,
14,3,2019,2,6270655,322,,
14,3,2019,3,903768,322,,
14,3,2019,4,57254,322,,
14,3,2019,5,215244,322,,
14,3,2019,6,365773,322,,
14,3,2019,7,38060,322,,
15,3,2019,0,553,322,,
15,3,2019,1,23648,322,,
15,3,2019,2,6500502,322,,
15,3,2019,3,881625,322,,
15,3,2019,4,60965,322,,
15,3,2019,5,194117,322,,
15,3,2019,6,356301,322,,
15,3,2019,7,40234,322,,
16,3,2019,0,184,322,,
16,3,2019,1,14719,322,,
16,3,2019,2,5014988,322,,
16,3,2019,3,484250,322,,
16,3,2019,4,45137,322,,
16,3,2019,5,64915,322,,
16,3,2019,6,130542,322,,
16,3,2019,7,26305,322,,
17,3,2019,0,148,322,,
17,3,2019,1,14108,322,,
17,3,2019,2,4010073,322,,
17,3,2019,3,301990,322,,
17,3,2019,4,38684,322,,
17,3,2019,5,26180,322,,
17,3,2019,6,56074,322,,
17,3,2019,7,14038,322,,
18,3,2019,0,303,322,,
18,3,2019,1,16817,322,,
18,3,2019,2,4976901,322,,
18,3,2019,3,398963,322,,
18,3,2019,4,41356,322,,
18,3,2019,5,48106,322,,
18,3,2019,6,116812,322,,
18,3,2019,7,24441,322,,
19,3,2019,0,815,323,,
19,3,2019,1,23851,323,,
19,3,2019,2,6056872,323,,
19,3,2019,3,878459,323,,
19,3,2019,4,56915,323,,
19,3,2019,5,204683,323,,
19,3,2019,6,378993,323,,
