cosit,class,year,month,day,VehicleCount
1024,3,2019,2,1,1458
1321,2,2019,2,1,33796
1500,5,2019,2,1,4305
1591,2,2019,2,1,5852
3804,2,2019,2,1,15654
20022,3,2019,2,1,5133
20023,2,2019,2,1,5850
20044,5,2019,2,1,476
20045,2,2019,2,1,10239
20083,2,2019,2,1,11693
20094,2,2019,2,1,9824
20116,3,2019,2,1,1912
20212,2,2019,2,1,13934
31061,6,2019,2,1,2757
200721,2,2019,2,1,16452
1223,6,2019,2,1,799
20051,6,2019,2,1,509
20051,3,2019,2,1,556
20066,3,2019,2,1,192
1561,3,2019,2,1,728
1594,3,2019,2,1,240
1679,5,2019,2,1,114
1622,7,2019,2,1,28
1851,3,2019,2,1,470
20521,7,2019,2,1,47
20119,7,2019,2,1,60
20562,4,2019,2,1,15
1092,1,2019,2,1,8
20811,1,2019,2,1,6
1035,1,2019,2,1,23
1071,0,2019,2,1,5
1751,4,2019,2,1,17
20013,0,2019,2,1,2
1045,1,2019,2,1,6
1041,2,2019,2,1,19459
1070,3,2019,2,1,6486
1504,2,2019,2,1,107069
1509,5,2019,2,1,3751
1581,6,2019,2,1,127
1611,2,2019,2,1,5431
20047,2,2019,2,1,94599
20077,2,2019,2,1,24048
20117,2,2019,2,1,5663
20802,3,2019,2,1,1170
20905,2,2019,2,1,12650
200719,6,2019,2,1,1297
1601,2,2019,2,1,2216
1021,5,2019,2,1,292
1256,1,2019,2,1,80
20205,4,2019,2,1,194
1054,4,2019,2,1,54
1721,6,2019,2,1,53
20063,7,2019,2,1,93
1812,1,2019,2,1,106
20241,4,2019,2,1,89
1053,7,2019,2,1,33
1141,7,2019,2,1,67
20563,4,2019,2,1,28
1102,5,2019,2,1,95
20671,5,2019,2,1,33
1182,4,2019,2,1,109
20024,7,2019,2,1,59
1312,1,2019,2,1,36
1022,0,2019,2,1,1
1631,7,2019,2,1,33
1015,3,2019,2,1,5606
1033,2,2019,2,1,54526
1172,4,2019,2,1,66
1282,6,2019,2,1,564
1621,5,2019,2,1,216
1715,3,2019,2,1,776
15002,3,2019,2,1,9508
20012,3,2019,2,1,10075
20016,2,2019,2,1,19368
20041,5,2019,2,1,1228
20089,3,2019,2,1,1249
20118,2,2019,2,1,27990
20185,2,2019,2,1,10917
20204,7,2019,2,1,99
20256,2,2019,2,1,36318
20524,2,2019,2,1,7071
201081,6,2019,2,1,827
1781,6,2019,2,1,72
20082,6,2019,2,1,397
202301,6,2019,2,1,126
1717,2,2019,2,1,2417
20031,4,2019,2,1,128
1811,5,2019,2,1,523
1731,3,2019,2,1,286
1101,4,2019,2,1,49
20621,7,2019,2,1,54
20062,1,2019,2,1,30
1692,4,2019,2,1,33
1161,7,2019,2,1,22
1172,7,2019,2,1,46
1042,7,2019,2,1,46
1507,0,2019,2,1,2
1023,5,2019,2,1,514
1113,2,2019,2,1,67243
1171,5,2019,2,1,224
1251,3,2019,2,1,1105
1508,4,2019,2,1,688
1524,3,2019,2,1,1081
1651,2,2019,2,1,2985
20012,6,2019,2,1,3260
20019,2,2019,2,1,27808
20067,2,2019,2,1,3065
20078,2,2019,2,1,24326
20091,2,2019,2,1,18377
20258,3,2019,2,1,6449
1541,6,2019,2,1,460
1624,5,2019,2,1,96
20092,4,2019,2,1,132
20181,5,2019,2,1,374
202104,5,2019,2,1,257
202103,3,2019,2,1,877
20254,1,2019,2,1,207
20046,3,2019,2,1,1028
1803,5,2019,2,1,149
3803,7,2019,2,1,94
1552,5,2019,2,1,150
20526,7,2019,2,1,85
1551,4,2019,2,1,40
20523,1,2019,2,1,43
1255,1,2019,2,1,52
20087,1,2019,2,1,19
20611,4,2019,2,1,50
20812,7,2019,2,1,60
1271,0,2019,2,1,2
1242,0,2019,2,1,2
1044,5,2019,2,1,1769
1112,3,2019,2,1,1929
1311,6,2019,2,1,84
1321,6,2019,2,1,644
1511,3,2019,2,1,594
3803,2,2019,2,1,15614
3804,6,2019,2,1,1552
20023,6,2019,2,1,394
20045,6,2019,2,1,1104
20094,6,2019,2,1,969
20186,6,2019,2,1,603
20204,2,2019,2,1,16140
20812,2,2019,2,1,2181
200716,3,2019,2,1,1081
200723,6,2019,2,1,5863
200811,3,2019,2,1,7213
200811,6,2019,2,1,1368
20081,5,2019,2,1,234
20151,6,2019,2,1,281
20526,2,2019,2,1,13643
20621,2,2019,2,1,4554
200721,6,2019,2,1,1386
200722,6,2019,2,1,1500
1035,5,2019,2,1,422
20013,4,2019,2,1,481
20093,5,2019,2,1,323
1022,7,2019,2,1,95
20861,3,2019,2,1,513
1602,3,2019,2,1,458
1782,5,2019,2,1,138
1592,6,2019,2,1,35
200715,1,2019,2,1,11
1133,4,2019,2,1,56
1781,1,2019,2,1,3
1712,1,2019,2,1,4
1282,1,2019,2,1,14
1541,1,2019,2,1,16
1671,4,2019,2,1,2
1132,3,2019,2,1,2537
1715,2,2019,2,1,4959
1811,7,2019,2,1,98
20013,6,2019,2,1,3226
20034,6,2019,2,1,847
20065,2,2019,2,1,34203
20076,6,2019,2,1,2961
20151,5,2019,2,1,200
20701,2,2019,2,1,1931
31021,2,2019,2,1,2162
200723,5,2019,2,1,5904
202103,2,2019,2,1,6191
1691,5,2019,2,1,152
3181,5,2019,2,1,298
20186,5,2019,2,1,348
200722,5,2019,2,1,959
200811,5,2019,2,1,1091
20511,2,2019,2,1,5216
200718,4,2019,2,1,144
20181,4,2019,2,1,103
1602,7,2019,2,1,35
1811,4,2019,2,1,60
1172,1,2019,2,1,16
1131,4,2019,2,1,14
20621,1,2019,2,1,3
1042,1,2019,2,1,8
20523,0,2019,2,1,1
20526,1,2019,2,1,5
1255,5,2019,2,1,917
1258,3,2019,2,1,7448
3171,2,2019,2,1,9922
3802,2,2019,2,1,11288
20036,4,2019,2,1,47
20062,5,2019,2,1,597
20067,3,2019,2,1,393
20071,3,2019,2,1,11460
20078,6,2019,2,1,2752
20091,3,2019,2,1,2659
20153,6,2019,2,1,248
20185,3,2019,2,1,1835
20224,2,2019,2,1,4739
20801,2,2019,2,1,8526
201321,2,2019,2,1,18933
1173,4,2019,2,1,62
1507,4,2019,2,1,248
20018,4,2019,2,1,300
20085,5,2019,2,1,652
1501,1,2019,2,1,306
1692,5,2019,2,1,185
1012,1,2019,2,1,332
1722,4,2019,2,1,49
20252,4,2019,2,1,68
20073,7,2019,2,1,41
1052,4,2019,2,1,59
1051,4,2019,2,1,32
1173,7,2019,2,1,37
3172,4,2019,2,1,33
1722,7,2019,2,1,42
1717,3,2019,2,1,129
1723,7,2019,2,1,37
20242,4,2019,2,1,34
1222,1,2019,2,1,19
20721,4,2019,2,1,14
20255,1,2019,2,1,3
31061,0,2019,2,1,2
1051,2,2019,2,1,8649
1052,2,2019,2,1,11892
1172,6,2019,2,1,228
1507,2,2019,2,1,65728
1508,6,2019,2,1,9467
3172,2,2019,2,1,7943
20018,2,2019,2,1,20119
20065,7,2019,2,1,214
20085,3,2019,2,1,2619
20172,2,2019,2,1,16742
20211,4,2019,2,1,90
20242,2,2019,2,1,6204
20252,2,2019,2,1,6309
20258,5,2019,2,1,1787
20524,1,2019,2,1,15
20526,6,2019,2,1,105
20621,6,2019,2,1,407
1173,2,2019,2,1,5752
1258,1,2019,2,1,214
1541,5,2019,2,1,188
1551,3,2019,2,1,399
1714,2,2019,2,1,471
1781,5,2019,2,1,73
20031,3,2019,2,1,1116
20036,2,2019,2,1,3005
1034,1,2019,2,1,1304
20256,1,2019,2,1,53
1033,1,2019,2,1,350
20082,5,2019,2,1,199
202301,5,2019,2,1,135
1282,5,2019,2,1,327
20118,1,2019,2,1,88
20211,7,2019,2,1,60
20171,7,2019,2,1,77
15010,1,2019,2,1,59
202103,7,2019,2,1,55
20091,1,2019,2,1,15
1521,7,2019,2,1,64
1524,7,2019,2,1,66
20014,0,2019,2,1,1
20221,0,2019,2,1,3
20016,1,2019,2,1,5
3171,0,2019,2,1,2
1024,6,2019,2,1,1085
1072,5,2019,2,1,3130
1092,4,2019,2,1,105
1311,2,2019,2,1,11333
1511,2,2019,2,1,4248
20114,2,2019,2,1,17732
20115,4,2019,2,1,127
20186,2,2019,2,1,13027
20201,3,2019,2,1,2601
20203,2,2019,2,1,26209
20802,6,2019,2,1,425
200722,2,2019,2,1,25938
200723,2,2019,2,1,66930
201082,6,2019,2,1,665
201082,3,2019,2,1,2126
1053,5,2019,2,1,123
1281,5,2019,2,1,396
1045,4,2019,2,1,133
1592,2,2019,2,1,1810
1631,5,2019,2,1,76
1691,2,2019,2,1,6324
1312,4,2019,2,1,154
1622,5,2019,2,1,123
1751,7,2019,2,1,19
20064,1,2019,2,1,68
20563,7,2019,2,1,54
20222,1,2019,2,1,59
20066,6,2019,2,1,15
20301,1,2019,2,1,46
20081,1,2019,2,1,29
1851,6,2019,2,1,48
1054,7,2019,2,1,31
20562,7,2019,2,1,15
20811,4,2019,2,1,12
1055,1,2019,2,1,11
1012,5,2019,2,1,2290
1223,4,2019,2,1,67
1503,6,2019,2,1,8307
3171,6,2019,2,1,434
20014,3,2019,2,1,5752
20074,7,2019,2,1,226
20079,6,2019,2,1,2763
20088,5,2019,2,1,321
1523,6,2019,2,1,279
3802,3,2019,2,1,1175
1057,5,2019,2,1,244
3801,4,2019,2,1,69
20051,1,2019,2,1,9
20183,5,2019,2,1,703
200719,4,2019,2,1,151
200812,5,2019,2,1,523
1271,5,2019,2,1,318
1661,3,2019,2,1,238
20022,1,2019,2,1,32
1242,5,2019,2,1,322
1151,3,2019,2,1,815
20117,0,2019,2,1,15
1593,5,2019,2,1,83
20066,1,2019,2,1,32
1522,7,2019,2,1,51
20033,7,2019,2,1,40
1832,7,2019,2,1,10
1594,1,2019,2,1,4
1201,0,2019,2,1,2
1041,0,2019,2,1,1
20077,0,2019,2,1,2
1086,2,2019,2,1,10289
1503,2,2019,2,1,117880
15011,2,2019,2,1,58681
20021,6,2019,2,1,2947
20075,4,2019,2,1,390
20078,3,2019,2,1,3302
20079,2,2019,2,1,21269
20202,2,2019,2,1,12853
20221,2,2019,2,1,7909
20223,2,2019,2,1,16984
20511,6,2019,2,1,277
20611,5,2019,2,1,203
31041,2,2019,2,1,2203
20211,6,2019,2,1,298
20172,1,2019,2,1,7
20171,6,2019,2,1,86
1551,5,2019,2,1,117
1255,7,2019,2,1,178
20252,1,2019,2,1,20
20073,4,2019,2,1,81
1242,1,2019,2,1,14
20074,0,2019,2,1,1
20036,1,2019,2,1,4
20011,0,2019,2,1,1
1013,2,2019,2,1,42098
1502,6,2019,2,1,9688
1508,5,2019,2,1,4684
1523,2,2019,2,1,3688
1711,2,2019,2,1,18785
1842,2,2019,2,1,4873
20522,2,2019,2,1,6250
1531,6,2019,2,1,272
20092,5,2019,2,1,485
20153,3,2019,2,1,984
31021,6,2019,2,1,173
1542,6,2019,2,1,419
20254,7,2019,2,1,114
20018,1,2019,2,1,36
20062,7,2019,2,1,124
20523,7,2019,2,1,100
1101,5,2019,2,1,115
20087,7,2019,2,1,115
1031,4,2019,2,1,32
1172,5,2019,2,1,147
1507,1,2019,2,1,172
1111,1,2019,2,1,85
20721,1,2019,2,1,2
1723,4,2019,2,1,15
1057,1,2019,2,1,10
3172,1,2019,2,1,17
20088,1,2019,2,1,13
1681,1,2019,2,1,3
31031,0,2019,2,1,1
1714,1,2019,2,1,2
1121,2,2019,2,1,3819
1201,2,2019,2,1,8799
1581,3,2019,2,1,600
1741,2,2019,2,1,3603
1801,2,2019,2,1,4654
3801,6,2019,2,1,839
10113,2,2019,2,1,18402
20011,6,2019,2,1,4602
20042,2,2019,2,1,38712
20074,6,2019,2,1,2989
20243,2,2019,2,1,15636
20801,5,2019,2,1,296
31061,3,2019,2,1,4876
200719,3,2019,2,1,1744
1500,7,2019,2,1,431
20014,5,2019,2,1,1170
20119,4,2019,2,1,220
20562,1,2019,2,1,1
20024,4,2019,2,1,83
1021,7,2019,2,1,84
201321,5,2019,2,1,324
20115,1,2019,2,1,48
20224,5,2019,2,1,249
200717,1,2019,2,1,6
1509,7,2019,2,1,401
1721,3,2019,2,1,605
20908,1,2019,2,1,143
1661,5,2019,2,1,52
20205,1,2019,2,1,78
20184,1,2019,2,1,51
1182,1,2019,2,1,83
1622,4,2019,2,1,23
1832,6,2019,2,1,13
1281,7,2019,2,1,89
1058,1,2019,2,1,8
1102,7,2019,2,1,25
20081,0,2019,2,1,3
1751,1,2019,2,1,1
1081,0,2019,2,1,1
1071,2,2019,2,1,58648
1182,6,2019,2,1,145
1812,3,2019,2,1,3396
20013,2,2019,2,1,33815
20022,5,2019,2,1,971
20047,4,2019,2,1,1231
20077,4,2019,2,1,339
20112,5,2019,2,1,1109
20525,2,2019,2,1,15166
20905,4,2019,2,1,117
200717,6,2019,2,1,1129
201082,5,2019,2,1,467
1045,6,2019,2,1,705
200713,7,2019,2,1,202
1751,6,2019,2,1,93
3804,4,2019,2,1,118
20083,4,2019,2,1,128
20116,5,2019,2,1,350
20083,7,2019,2,1,85
20094,4,2019,2,1,93
1041,4,2019,2,1,96
20042,7,2019,2,1,95
20811,3,2019,2,1,491
3805,5,2019,2,1,44
1321,4,2019,2,1,121
10113,7,2019,2,1,110
20243,7,2019,2,1,82
200722,1,2019,2,1,119
1261,7,2019,2,1,46
1851,5,2019,2,1,75
20045,4,2019,2,1,56
20203,1,2019,2,1,13
20861,1,2019,2,1,8
1601,4,2019,2,1,11
20023,4,2019,2,1,79
1112,1,2019,2,1,63
1691,1,2019,2,1,32
1601,7,2019,2,1,23
1025,1,2019,2,1,14
1592,1,2019,2,1,9
200716,1,2019,2,1,2
20041,0,2019,2,1,3
20113,1,2019,2,1,2
1021,6,2019,2,1,1036
1045,2,2019,2,1,6863
1072,3,2019,2,1,12206
1092,2,2019,2,1,13996
1252,5,2019,2,1,410
1500,3,2019,2,1,17266
1501,5,2019,2,1,4808
1509,3,2019,2,1,18044
1509,6,2019,2,1,2893
20074,5,2019,2,1,956
20115,2,2019,2,1,15774
20563,2,2019,2,1,4884
20811,2,2019,2,1,3341
1070,4,2019,2,1,331
20033,5,2019,2,1,146
31061,7,2019,2,1,218
200720,5,2019,2,1,605
20011,7,2019,2,1,283
1151,6,2019,2,1,157
201082,1,2019,2,1,16
1102,3,2019,2,1,509
20051,4,2019,2,1,19
1505,1,2019,2,1,158
1661,6,2019,2,1,42
200719,7,2019,2,1,74
1761,5,2019,2,1,127
1871,1,2019,2,1,12
20251,5,2019,2,1,118
1223,7,2019,2,1,176
1693,5,2019,2,1,80
1801,1,2019,2,1,11
20112,1,2019,2,1,75
1043,1,2019,2,1,18
1581,4,2019,2,1,16
1741,1,2019,2,1,8
1721,4,2019,2,1,32
20066,4,2019,2,1,9
20671,6,2019,2,1,7
200811,0,2019,2,1,2
3805,1,2019,2,1,1
1321,0,2019,2,1,5
1594,4,2019,2,1,1
1012,6,2019,2,1,7588
1024,2,2019,2,1,8605
1072,4,2019,2,1,735
1253,6,2019,2,1,1894
1501,6,2019,2,1,9064
1503,5,2019,2,1,4787
15011,5,2019,2,1,1563
20022,2,2019,2,1,23749
20033,3,2019,2,1,953
20074,3,2019,2,1,4433
20079,5,2019,2,1,835
20112,2,2019,2,1,44104
20251,3,2019,2,1,618
200812,6,2019,2,1,1669
1222,6,2019,2,1,261
3801,3,2019,2,1,1330
20014,7,2019,2,1,249
20033,6,2019,2,1,110
20522,5,2019,2,1,213
1693,3,2019,2,1,479
1761,6,2019,2,1,315
1842,5,2019,2,1,110
20119,1,2019,2,1,185
31041,5,2019,2,1,111
1832,3,2019,2,1,72
201321,7,2019,2,1,45
3802,7,2019,2,1,48
20024,1,2019,2,1,14
1661,7,2019,2,1,23
1053,1,2019,2,1,22
20671,7,2019,2,1,12
1312,0,2019,2,1,11
1044,0,2019,2,1,2
1812,0,2019,2,1,6
1014,3,2019,2,1,15368
1044,3,2019,2,1,9208
1081,3,2019,2,1,4206
1092,6,2019,2,1,1351
1256,6,2019,2,1,2175
1261,5,2019,2,1,178
1801,5,2019,2,1,169
3111,3,2019,2,1,2506
10113,5,2019,2,1,542
15012,5,2019,2,1,1189
20042,5,2019,2,1,2730
20081,3,2019,2,1,1191
20082,2,2019,2,1,4794
20257,3,2019,2,1,5428
20257,6,2019,2,1,1330
20906,4,2019,2,1,107
200723,4,2019,2,1,954
20061,5,2019,2,1,412
20114,4,2019,2,1,137
200714,5,2019,2,1,191
200722,4,2019,2,1,143
1201,5,2019,2,1,355
1243,3,2019,2,1,891
20047,7,2019,2,1,338
1312,6,2019,2,1,113
1506,1,2019,2,1,205
20301,3,2019,2,1,749
1632,5,2019,2,1,106
3804,7,2019,2,1,91
20045,7,2019,2,1,54
1782,3,2019,2,1,486
20906,7,2019,2,1,120
1121,5,2019,2,1,111
1691,4,2019,2,1,37
20811,6,2019,2,1,100
20023,7,2019,2,1,76
3181,4,2019,2,1,61
20113,4,2019,2,1,20
1592,4,2019,2,1,18
1811,1,2019,2,1,6
20601,1,2019,2,1,3
1101,0,2019,2,1,1
1011,6,2019,2,1,1358
1013,5,2019,2,1,475
1043,2,2019,2,1,9995
1086,5,2019,2,1,314
1500,4,2019,2,1,833
1522,6,2019,2,1,371
1851,2,2019,2,1,4665
3182,6,2019,2,1,495
20011,3,2019,2,1,12361
20111,2,2019,2,1,59521
20116,2,2019,2,1,10340
20183,6,2019,2,1,915
20201,2,2019,2,1,20337
20255,6,2019,2,1,642
20907,6,2019,2,1,902
31031,3,2019,2,1,4349
31031,6,2019,2,1,2964
200720,3,2019,2,1,2313
201082,2,2019,2,1,15042
1252,6,2019,2,1,623
1509,4,2019,2,1,494
1711,5,2019,2,1,417
3805,2,2019,2,1,1772
20202,5,2019,2,1,403
20221,5,2019,2,1,212
20223,5,2019,2,1,277
1761,3,2019,2,1,506
1831,6,2019,2,1,53
20251,6,2019,2,1,498
1693,6,2019,2,1,140
1021,4,2019,2,1,133
20044,4,2019,2,1,124
1281,4,2019,2,1,54
1523,5,2019,2,1,150
1701,6,2019,2,1,6
1151,7,2019,2,1,30
1102,4,2019,2,1,35
1054,1,2019,2,1,19
20063,1,2019,2,1,8
1141,1,2019,2,1,1
1622,1,2019,2,1,4
1256,0,2019,2,1,7
1035,6,2019,2,1,1144
1044,6,2019,2,1,3025
1055,3,2019,2,1,478
1112,4,2019,2,1,124
1282,2,2019,2,1,11199
1505,5,2019,2,1,2698
1712,2,2019,2,1,13307
1781,2,2019,2,1,2165
20093,3,2019,2,1,1177
20222,3,2019,2,1,2208
200711,5,2019,2,1,133
200715,2,2019,2,1,10267
200811,4,2019,2,1,255
201081,2,2019,2,1,32795
1741,5,2019,2,1,154
1812,6,2019,2,1,273
200713,5,2019,2,1,943
200721,7,2019,2,1,116
20064,3,2019,2,1,2074
20203,4,2019,2,1,251
20186,7,2019,2,1,138
20243,5,2019,2,1,321
1311,4,2019,2,1,178
1591,7,2019,2,1,47
20905,7,2019,2,1,123
200723,7,2019,2,1,209
1321,7,2019,2,1,111
1504,7,2019,2,1,365
20094,7,2019,2,1,85
1611,7,2019,2,1,71
20186,4,2019,2,1,92
1871,5,2019,2,1,46
20151,4,2019,2,1,63
1508,0,2019,2,1,24
20117,7,2019,2,1,39
1511,4,2019,2,1,12
1621,1,2019,2,1,2
1025,4,2019,2,1,3
1012,3,2019,2,1,10350
1070,2,2019,2,1,43626
1111,6,2019,2,1,676
1258,5,2019,2,1,1485
1501,3,2019,2,1,19797
1507,6,2019,2,1,1367
1522,3,2019,2,1,413
1561,2,2019,2,1,8587
1594,2,2019,2,1,1736
1721,2,2019,2,1,6179
3802,4,2019,2,1,73
15010,5,2019,2,1,1834
20019,5,2019,2,1,1176
20036,6,2019,2,1,393
20071,5,2019,2,1,2748
20088,6,2019,2,1,1619
20183,3,2019,2,1,3865
20252,6,2019,2,1,520
20255,3,2019,2,1,1396
20802,2,2019,2,1,5285
1271,3,2019,2,1,1612
20066,2,2019,2,1,2568
20086,5,2019,2,1,437
1831,3,2019,2,1,397
20172,6,2019,2,1,252
1281,1,2019,2,1,26
20079,7,2019,2,1,158
1701,3,2019,2,1,196
20032,5,2019,2,1,149
1523,7,2019,2,1,53
1717,5,2019,2,1,75
1086,7,2019,2,1,69
20522,7,2019,2,1,71
3171,4,2019,2,1,34
20591,5,2019,2,1,61
20044,1,2019,2,1,47
20224,7,2019,2,1,40
1631,1,2019,2,1,6
20221,7,2019,2,1,16
1679,1,2019,2,1,4
20671,4,2019,2,1,10
1151,4,2019,2,1,3
20184,0,2019,2,1,1
1551,2,2019,2,1,3212
3181,6,2019,2,1,566
20203,6,2019,2,1,1185
1691,6,2019,2,1,138
20301,5,2019,2,1,147
20258,1,2019,2,1,196
20034,5,2019,2,1,313
1243,5,2019,2,1,198
1132,7,2019,2,1,135
20082,4,2019,2,1,57
20012,1,2019,2,1,98
20078,0,2019,2,1,2
20113,6,2019,2,1,21
1524,1,2019,2,1,15
1251,1,2019,2,1,32
1781,4,2019,2,1,3
1014,5,2019,2,1,3226
1025,6,2019,2,1,680
1101,2,2019,2,1,8207
1172,2,2019,2,1,5060
1506,3,2019,2,1,14182
1508,2,2019,2,1,122896
1511,6,2019,2,1,86
1602,6,2019,2,1,120
1692,2,2019,2,1,5732
20031,2,2019,2,1,6431
20064,5,2019,2,1,693
20084,6,2019,2,1,1663
20092,2,2019,2,1,16166
20611,2,2019,2,1,6461
200715,4,2019,2,1,128
200716,6,2019,2,1,1066
201081,4,2019,2,1,485
1081,5,2019,2,1,946
1621,3,2019,2,1,794
1624,3,2019,2,1,408
1731,1,2019,2,1,4
1811,3,2019,2,1,1454
20013,7,2019,2,1,230
1055,5,2019,2,1,140
