"cosit","class","year","month","day","VehicleCount"
"000000001023","2","2019","2","28","13799"
"000000001041","6","2019","2","28","597"
"000000001042","2","2019","2","28","5602"
"000000001081","7","2019","2","28","129"
"000000001092","5","2019","2","28","562"
"000000001131","2","2019","2","28","7259"
"000000001171","2","2019","2","28","8121"
"000000001321","3","2019","2","28","5020"
"000000001552","2","2019","2","28","2890"
"000000003803","2","2019","2","28","15646"
"000000020047","6","2019","2","28","3863"
"000000020081","7","2019","2","28","51"
"000000020083","6","2019","2","28","2068"
"000000020094","6","2019","2","28","1277"
"000000020181","2","2019","2","28","11522"
"000000020186","3","2019","2","28","1519"
"000000020203","3","2019","2","28","3373"
"000000020204","2","2019","2","28","15941"
"000000020212","6","2019","2","28","504"
"000000020905","6","2019","2","28","1183"
"000000020905","3","2019","2","28","2174"
"000000020906","3","2019","2","28","1761"
"000000200721","6","2019","2","28","1430"
"000000200722","3","2019","2","28","3249"
"000000001035","5","2019","2","28","384"
"000000001045","5","2019","2","28","278"
"000000001312","5","2019","2","28","319"
"000000001511","3","2019","2","28","558"
"000000001073","1","2019","2","28","384"
"000000001671","1","2019","2","28","5"
"000000020013","4","2019","2","28","442"
"000000201081","1","2019","2","28","464"
"000000001691","3","2019","2","28","762"
"000000001221","4","2019","2","28","68"
"000000001592","3","2019","2","28","280"
"000000001591","6","2019","2","28","73"
"000000001022","4","2019","2","28","164"
"000000001055","7","2019","2","28","41"
"000000001782","7","2019","2","28","61"
"000000020064","7","2019","2","28","150"
"000000003173","7","2019","2","28","90"
"000000020811","5","2019","2","28","152"
"000000001132","1","2019","2","28","90"
"000000020093","7","2019","2","28","85"
"000000020301","7","2019","2","28","47"
"000000003111","7","2019","2","28","154"
"000000200715","1","2019","2","28","7"
"000000020065","0","2019","2","28","4"
"000000001014","7","2019","2","28","449"
"000000001015","0","2019","2","28","464"
"000000001027","3","2019","2","28","1189"
"000000001112","3","2019","2","28","1959"
"000000001161","2","2019","2","28","2031"
"000000001256","5","2019","2","28","1699"
"000000001321","6","2019","2","28","584"
"000000001504","6","2019","2","28","2108"
"000000003804","6","2019","2","28","1814"
"000000003804","3","2019","2","28","1704"
"000000020023","6","2019","2","28","477"
"000000020041","2","2019","2","28","52252"
"000000020045","6","2019","2","28","1087"
"000000020045","3","2019","2","28","1093"
"000000020077","6","2019","2","28","2996"
"000000020094","3","2019","2","28","1643"
"000000020114","3","2019","2","28","4400"
"000000020117","6","2019","2","28","635"
"000000200718","2","2019","2","28","9891"
"000000200721","3","2019","2","28","3045"
"000000200723","3","2019","2","28","12156"
"000000200811","3","2019","2","28","7103"
"000000202104","2","2019","2","28","6559"
"000000001071","4","2019","2","28","414"
"000000001311","3","2019","2","28","1138"
"000000001803","2","2019","2","28","7186"
"000000020076","4","2019","2","28","393"
"000000020151","3","2019","2","28","746"
"000000001712","1","2019","2","28","20"
"000000001133","4","2019","2","28","99"
"000000020525","4","2019","2","28","179"
"000000001812","5","2019","2","28","602"
"000000020034","4","2019","2","28","128"
"000000020113","3","2019","2","28","131"
"000000020171","0","2019","2","28","3"
"000000001601","6","2019","2","28","59"
"000000001243","7","2019","2","28","98"
"000000001191","7","2019","2","28","39"
"000000001524","0","2019","2","28","2"
"000000015002","0","2019","2","28","12"
"000000001512","1","2019","2","28","2"
"000000001035","3","2019","2","28","2270"
"000000001191","3","2019","2","28","1503"
"000000001256","6","2019","2","28","2362"
"000000001505","5","2019","2","28","2609"
"000000003111","3","2019","2","28","2732"
"000000020081","3","2019","2","28","1241"
"000000020093","3","2019","2","28","1279"
"000000020094","4","2019","2","28","106"
"000000020184","6","2019","2","28","1178"
"000000020222","3","2019","2","28","2497"
"000000020257","3","2019","2","28","5962"
"000000020908","6","2019","2","28","1263"
"000000200723","4","2019","2","28","1061"
"000000200811","4","2019","2","28","285"
"000000020047","7","2019","2","28","455"
"000000020111","5","2019","2","28","1620"
"000000001024","5","2019","2","28","451"
"000000001671","2","2019","2","28","973"
"000000001801","5","2019","2","28","161"
"000000020077","7","2019","2","28","167"
"000000020114","4","2019","2","28","145"
"000000020905","4","2019","2","28","137"
"000000001741","5","2019","2","28","227"
"000000001058","6","2019","2","28","234"
"000000020084","1","2019","2","28","18"
"000000020045","4","2019","2","28","66"
"000000001504","7","2019","2","28","484"
"000000001632","7","2019","2","28","49"
"000000001311","4","2019","2","28","183"
"000000200713","7","2019","2","28","268"
"000000001602","1","2019","2","28","31"
"000000001041","7","2019","2","28","144"
"000000001201","7","2019","2","28","71"
"000000020042","7","2019","2","28","78"
"000000020023","4","2019","2","28","76"
"000000020117","7","2019","2","28","65"
"000000003181","1","2019","2","28","11"
"000000001601","7","2019","2","28","49"
"000000003803","0","2019","2","28","1"
"000000200716","1","2019","2","28","11"
"000000020526","0","2019","2","28","1"
"000000001033","3","2019","2","28","7560"
"000000001113","3","2019","2","28","8328"
"000000001253","1","2019","2","28","233"
"000000001255","7","2019","2","28","180"
"000000001502","6","2019","2","28","11134"
"000000003171","2","2019","2","28","9317"
"000000020021","6","2019","2","28","3207"
"000000020078","3","2019","2","28","3850"
"000000020092","5","2019","2","28","426"
"000000020801","2","2019","2","28","8712"
"000000020075","4","2019","2","28","397"
"000000020611","5","2019","2","28","229"
"000000001703","1","2019","2","28","8"
"000000001551","5","2019","2","28","124"
"000000001694","3","2019","2","28","140"
"000000001242","1","2019","2","28","57"
"000000001052","4","2019","2","28","68"
"000000001012","1","2019","2","28","385"
"000000031021","6","2019","2","28","195"
"000000001101","5","2019","2","28","148"
"000000020254","7","2019","2","28","143"
"000000001225","5","2019","2","28","193"
"000000001222","1","2019","2","28","28"
"000000020073","7","2019","2","28","42"
"000000020721","1","2019","2","28","1"
"000000001714","1","2019","2","28","4"
"000000001057","1","2019","2","28","12"
"000000200719","0","2019","2","28","1"
"000000031061","0","2019","2","28","2"
"000000001044","3","2019","2","28","9305"
"000000001045","6","2019","2","28","692"
"000000001092","6","2019","2","28","1475"
"000000001132","2","2019","2","28","18207"
"000000001312","6","2019","2","28","129"
"000000001512","2","2019","2","28","4016"
"000000001712","2","2019","2","28","12591"
"000000003804","4","2019","2","28","108"
"000000003805","5","2019","2","28","34"
"000000015012","5","2019","2","28","1270"
"000000020112","5","2019","2","28","1346"
"000000020115","6","2019","2","28","836"
"000000020563","6","2019","2","28","293"
"000000020811","6","2019","2","28","155"
"000000020906","4","2019","2","28","119"
"000000200717","6","2019","2","28","1204"
"000000200721","4","2019","2","28","183"
"000000201082","5","2019","2","28","468"
"000000001043","5","2019","2","28","331"
"000000001261","7","2019","2","28","52"
"000000001312","3","2019","2","28","2061"
"000000020083","7","2019","2","28","120"
"000000020201","5","2019","2","28","576"
"000000001321","4","2019","2","28","183"
"000000001812","6","2019","2","28","294"
"000000020562","6","2019","2","28","53"
"000000020601","1","2019","2","28","5"
"000000200711","5","2019","2","28","155"
"000000020212","7","2019","2","28","78"
"000000001871","5","2019","2","28","38"
"000000001121","5","2019","2","28","137"
"000000001851","5","2019","2","28","125"
"000000020186","4","2019","2","28","112"
"000000001592","4","2019","2","28","11"
"000000010113","7","2019","2","28","132"
"000000001025","1","2019","2","28","22"
"000000001591","7","2019","2","28","52"
"000000001591","4","2019","2","28","32"
"000000020861","1","2019","2","28","3"
"000000001014","5","2019","2","28","3364"
"000000001025","3","2019","2","28","1546"
"000000001071","7","2019","2","28","291"
"000000001132","4","2019","2","28","148"
"000000003181","3","2019","2","28","1313"
"000000003181","6","2019","2","28","668"
"000000020064","5","2019","2","28","678"
"000000020093","5","2019","2","28","317"
"000000020151","6","2019","2","28","260"
"000000020526","2","2019","2","28","12550"
"000000020611","2","2019","2","28","6228"
"000000020812","2","2019","2","28","2058"
"000000020906","6","2019","2","28","1174"
"000000200722","6","2019","2","28","1530"
"000000200811","6","2019","2","28","1460"
"000000001191","5","2019","2","28","343"
"000000001311","6","2019","2","28","84"
"000000020621","2","2019","2","28","4091"
"000000001112","6","2019","2","28","491"
"000000020013","7","2019","2","28","281"
"000000020222","5","2019","2","28","554"
"000000001133","7","2019","2","28","89"
"000000020861","3","2019","2","28","488"
"000000001511","6","2019","2","28","102"
"000000001282","1","2019","2","28","26"
"000000020034","7","2019","2","28","83"
"000000020153","0","2019","2","28","4"
"000000020525","7","2019","2","28","70"
"000000001712","4","2019","2","28","66"
"000000001512","4","2019","2","28","38"
"000000001782","5","2019","2","28","172"
"000000001592","6","2019","2","28","50"
"000000001541","1","2019","2","28","17"
"000000202301","1","2019","2","28","18"
"000000003807","1","2019","2","28","1"
"000000001041","0","2019","2","28","3"
"000000001058","2","2019","2","28","7231"
"000000001253","5","2019","2","28","1410"
"000000001501","5","2019","2","28","5533"
"000000001509","3","2019","2","28","18583"
"000000001751","2","2019","2","28","4147"
"000000020014","6","2019","2","28","3638"
"000000020044","3","2019","2","28","2106"
"000000020115","2","2019","2","28","15973"
"000000020184","2","2019","2","28","35294"
"000000020224","6","2019","2","28","252"
"000000020562","2","2019","2","28","2629"
"000000200812","5","2019","2","28","609"
"000000003801","7","2019","2","28","63"
"000000020011","7","2019","2","28","317"
"000000020183","5","2019","2","28","816"
"000000200720","7","2019","2","28","123"
"000000001661","6","2019","2","28","62"
"000000001271","5","2019","2","28","280"
"000000003182","5","2019","2","28","340"
"000000020801","6","2019","2","28","596"
"000000001593","5","2019","2","28","118"
"000000001222","5","2019","2","28","296"
"000000020111","1","2019","2","28","264"
"000000001831","5","2019","2","28","123"
"000000001069","7","2019","2","28","5"
"000000020022","1","2019","2","28","69"
"000000001581","4","2019","2","28","19"
"000000020116","1","2019","2","28","14"
"000000001721","4","2019","2","28","28"
"000000020047","0","2019","2","28","10"
"000000020083","0","2019","2","28","1"
"000000001012","5","2019","2","28","2462"
"000000001021","3","2019","2","28","1330"
"000000001102","3","2019","2","28","572"
"000000001151","3","2019","2","28","764"
"000000001182","2","2019","2","28","12343"
"000000001716","6","2019","2","28","653"
"000000003171","6","2019","2","28","513"
"000000003802","6","2019","2","28","1055"
"000000020051","4","2019","2","28","25"
"000000020205","2","2019","2","28","27685"
"000000020255","5","2019","2","28","322"
"000000020563","2","2019","2","28","4948"
"000000020908","2","2019","2","28","11564"
"000000200717","2","2019","2","28","8015"
"000000200719","4","2019","2","28","179"
"000000201082","1","2019","2","28","32"
"000000001011","5","2019","2","28","782"
"000000001223","4","2019","2","28","66"
"000000020907","5","2019","2","28","223"
"000000020074","7","2019","2","28","231"
"000000031061","4","2019","2","28","486"
"000000208001","5","2019","2","28","366"
"000000001703","5","2019","2","28","242"
"000000201321","6","2019","2","28","326"
"000000001151","6","2019","2","28","176"
"000000020117","0","2019","2","28","60"
"000000001679","3","2019","2","28","197"
"000000001169","7","2019","2","28","16"
"000000020671","3","2019","2","28","210"
"000000001043","1","2019","2","28","34"
"000000020112","1","2019","2","28","125"
"000000001114","7","2019","2","28","98"
"000000200721","0","2019","2","28","1"
"000000020077","0","2019","2","28","5"
"000000001701","5","2019","2","28","37"
"000000001832","7","2019","2","28","17"
"000000001504","0","2019","2","28","9"
"000000001321","0","2019","2","28","5"
"000000001024","1","2019","2","28","5"
"000000001851","1","2019","2","28","3"
"000000020212","0","2019","2","28","7"
"000000001015","5","2019","2","28","1592"
"000000001172","6","2019","2","28","281"
"000000001242","2","2019","2","28","12702"
"000000001771","2","2019","2","28","10296"
"000000015002","5","2019","2","28","2480"
"000000020012","5","2019","2","28","1872"
"000000020036","2","2019","2","28","2922"
"000000020062","3","2019","2","28","3288"
"000000020085","3","2019","2","28","2728"
"000000020089","5","2019","2","28","365"
"000000020252","2","2019","2","28","6798"
"000000020258","5","2019","2","28","1774"
"000000020523","3","2019","2","28","2095"
"000000020611","6","2019","2","28","333"
"000000001251","5","2019","2","28","322"
"000000001692","3","2019","2","28","778"
"000000003806","6","2019","2","28","53"
"000000020071","1","2019","2","28","263"
"000000001692","6","2019","2","28","473"
"000000015010","1","2019","2","28","112"
"000000001258","1","2019","2","28","251"
"000000020171","7","2019","2","28","82"
"000000001211","1","2019","2","28","63"
"000000020511","7","2019","2","28","42"
"000000001057","2","2019","2","28","5000"
"000000200171","1","2019","2","28","16"
"000000001542","7","2019","2","28","62"
"000000020031","6","2019","2","28","94"
"000000001717","1","2019","2","28","8"
"000000001036","1","2019","2","28","29"
"000000020591","1","2019","2","28","7"
"000000020019","1","2019","2","28","82"
"000000020524","1","2019","2","28","25"
"000000020086","1","2019","2","28","19"
"000000020032","1","2019","2","28","25"
"000000001694","4","2019","2","28","1"
"000000001111","2","2019","2","28","14125"
"000000001507","2","2019","2","28","71191"
"000000001508","6","2019","2","28","10530"
"000000001524","5","2019","2","28","275"
"000000003172","2","2019","2","28","7325"
"000000020018","2","2019","2","28","19510"
"000000020046","5","2019","2","28","194"
"000000020078","4","2019","2","28","399"
"000000020088","2","2019","2","28","9385"
"000000020092","6","2019","2","28","1497"
"000000020172","2","2019","2","28","16375"
"000000020721","2","2019","2","28","2358"
"000000001502","7","2019","2","28","580"
"000000001551","6","2019","2","28","240"
"000000001593","2","2019","2","28","3552"
"000000001714","2","2019","2","28","605"
"000000001034","1","2019","2","28","1460"
"000000001101","6","2019","2","28","371"
"000000001531","7","2019","2","28","49"
"000000003807","5","2019","2","28","12"
"000000020031","3","2019","2","28","1181"
"000000001225","3","2019","2","28","341"
"000000001715","5","2019","2","28","130"
"000000020153","4","2019","2","28","85"
"000000001731","5","2019","2","28","118"
"000000020118","1","2019","2","28","157"
"000000001651","1","2019","2","28","4"
"000000020021","7","2019","2","28","216"
"000000020016","1","2019","2","28","15"
"000000020253","1","2019","2","28","56"
"000000020211","7","2019","2","28","64"
"000000020256","1","2019","2","28","88"
"000000020153","7","2019","2","28","47"
"000000020185","1","2019","2","28","11"
"000000031021","7","2019","2","28","15"
"000000001056","1","2019","2","28","29"
"000000020014","0","2019","2","28","1"
"000000201321","0","2019","2","28","4"
"000000003171","0","2019","2","28","1"
"000000001033","6","2019","2","28","2202"
"000000001056","3","2019","2","28","537"
"000000001111","4","2019","2","28","178"
"000000001151","2","2019","2","28","4059"
"000000001661","2","2019","2","28","2140"
"000000015010","3","2019","2","28","12962"
"000000020014","2","2019","2","28","33746"
"000000020016","6","2019","2","28","2646"
"000000020018","4","2019","2","28","269"
"000000020062","5","2019","2","28","649"
"000000020078","6","2019","2","28","3048"
"000000020091","6","2019","2","28","1512"
"000000020118","6","2019","2","28","1156"
"000000020185","3","2019","2","28","1867"
"000000020185","6","2019","2","28","699"
"000000020256","3","2019","2","28","4404"
"000000020671","2","2019","2","28","2023"
"000000200171","3","2019","2","28","4382"
"000000001242","4","2019","2","28","129"
"000000003172","4","2019","2","28","51"
"000000020253","3","2019","2","28","1651"
"000000020523","5","2019","2","28","473"
"000000001507","4","2019","2","28","276"
"000000001723","7","2019","2","28","71"
"000000020182","7","2019","2","28","265"
"000000020242","7","2019","2","28","88"
"000000001693","1","2019","2","28","14"
"000000020907","1","2019","2","28","9"
"000000001114","1","2019","2","28","105"
"000000001694","6","2019","2","28","152"
"000000020183","1","2019","2","28","40"
"000000020252","4","2019","2","28","68"
"000000001831","1","2019","2","28","18"
"000000001057","4","2019","2","28","54"
"000000001051","7","2019","2","28","48"
"000000020721","4","2019","2","28","13"
"000000001701","1","2019","2","28","6"
"000000001593","4","2019","2","28","1"
"000000001034","3","2019","2","28","9818"
"000000001036","3","2019","2","28","760"
"000000001113","6","2019","2","28","1426"
"000000001211","3","2019","2","28","1501"
"000000001255","5","2019","2","28","1096"
"000000001258","3","2019","2","28","7714"
"000000001716","2","2019","2","28","20898"
"000000003802","2","2019","2","28","11047"
"000000020016","3","2019","2","28","3463"
"000000020019","3","2019","2","28","5853"
"000000020067","6","2019","2","28","116"
"000000020071","3","2019","2","28","12305"
"000000020086","3","2019","2","28","2528"
"000000020088","4","2019","2","28","78"
"000000020254","5","2019","2","28","439"
"000000020524","3","2019","2","28","981"
"000000201321","2","2019","2","28","19210"
"000000001011","1","2019","2","28","930"
"000000015001","7","2019","2","28","277"
"000000020032","3","2019","2","28","854"
"000000020087","5","2019","2","28","532"
"000000001771","4","2019","2","28","77"
"000000020036","4","2019","2","28","52"
"000000001651","3","2019","2","28","336"
"000000020172","4","2019","2","28","212"
"000000001501","1","2019","2","28","344"
"000000001717","3","2019","2","28","144"
"000000020591","3","2019","2","28","323"
"000000031031","1","2019","2","28","37"
"000000001761","1","2019","2","28","11"
"000000001561","0","2019","2","28","3"
"000000001173","7","2019","2","28","40"
"000000001252","1","2019","2","28","59"
"000000001717","6","2019","2","28","27"
"000000001271","4","2019","2","28","121"
"000000020172","7","2019","2","28","163"
"000000001031","7","2019","2","28","57"
"000000001681","7","2019","2","28","47"
"000000020033","1","2019","2","28","24"
"000000001052","7","2019","2","28","59"
"000000208001","1","2019","2","28","24"
"000000001722","7","2019","2","28","35"
"000000003182","1","2019","2","28","11"
"000000001522","1","2019","2","28","11"
"000000020251","1","2019","2","28","1"
"000000001581","0","2019","2","28","1"
"000000001070","0","2019","2","28","2"
"000000020802","0","2019","2","28","3"
"000000001223","0","2019","2","28","1"
"000000001073","6","2019","2","28","7078"
"000000001621","5","2019","2","28","288"
"000000020012","3","2019","2","28","10409"
"000000020078","2","2019","2","28","24343"
"000000020258","3","2019","2","28","6537"
"000000201081","6","2019","2","28","879"
"000000202301","3","2019","2","28","488"
"000000001712","6","2019","2","28","587"
"000000001731","3","2019","2","28","317"
"000000020153","2","2019","2","28","5936"
"000000001541","3","2019","2","28","593"
"000000001781","3","2019","2","28","295"
"000000001101","4","2019","2","28","55"
"000000020601","5","2019","2","28","158"
"000000001161","7","2019","2","28","31"
"000000003803","7","2019","2","28","79"
"000000020526","4","2019","2","28","28"
"000000001803","7","2019","2","28","75"
"000000001811","5","2019","2","28","620"
"000000202104","7","2019","2","28","67"
"000000020031","1","2019","2","28","9"
"000000001692","1","2019","2","28","35"
"000000001225","1","2019","2","28","11"
"000000020085","1","2019","2","28","42"
"000000001042","7","2019","2","28","54"
"000000020621","4","2019","2","28","27"
"000000020018","0","2019","2","28","1"
"000000020812","4","2019","2","28","9"
"000000020242","0","2019","2","28","1"
"000000020182","0","2019","2","28","1"
"000000003172","0","2019","2","28","1"
"000000001011","3","2019","2","28","4749"
"000000001012","6","2019","2","28","8732"
"000000001024","2","2019","2","28","8413"
"000000001070","2","2019","2","28","48664"
"000000001111","6","2019","2","28","806"
"000000001114","3","2019","2","28","3152"
"000000001242","6","2019","2","28","770"
"000000001253","6","2019","2","28","1968"
"000000001501","6","2019","2","28","10289"
"000000001501","3","2019","2","28","21601"
"000000001561","2","2019","2","28","8791"
"000000020116","2","2019","2","28","10263"
"000000020183","6","2019","2","28","997"
"000000020802","2","2019","2","28","5435"
"000000020907","6","2019","2","28","973"
"000000200171","5","2019","2","28","830"
"000000200812","6","2019","2","28","2024"
"000000208001","3","2019","2","28","1522"
"000000001222","6","2019","2","28","221"
"000000001522","3","2019","2","28","425"
"000000001693","3","2019","2","28","411"
"000000020066","2","2019","2","28","2571"
"000000020202","5","2019","2","28","494"
"000000020253","5","2019","2","28","467"
"000000020014","4","2019","2","28","511"
"000000020014","7","2019","2","28","260"
"000000020032","5","2019","2","28","173"
"000000020033","3","2019","2","28","1059"
"000000001593","6","2019","2","28","98"
"000000020223","5","2019","2","28","346"
"000000020255","6","2019","2","28","628"
"000000001500","1","2019","2","28","472"
"000000001761","3","2019","2","28","522"
"000000020522","7","2019","2","28","63"
"000000003171","7","2019","2","28","120"
"000000001057","6","2019","2","28","589"
"000000201321","4","2019","2","28","157"
"000000001032","1","2019","2","28","10"
"000000001661","4","2019","2","28","7"
"000000001053","1","2019","2","28","27"
"000000020024","1","2019","2","28","9"
"000000001312","0","2019","2","28","16"
"000000001812","0","2019","2","28","13"
"000000020563","0","2019","2","28","1"
"000000001086","5","2019","2","28","404"
"000000001252","3","2019","2","28","2104"
"000000001771","6","2019","2","28","465"
"000000001851","2","2019","2","28","4264"
"000000003182","3","2019","2","28","1946"
"000000003802","4","2019","2","28","67"
"000000015011","5","2019","2","28","1625"
"000000020022","2","2019","2","28","24805"
"000000020079","7","2019","2","28","214"
"000000020086","5","2019","2","28","508"
"000000020088","6","2019","2","28","1916"
"000000020183","3","2019","2","28","3919"
"000000020251","3","2019","2","28","639"
"000000031031","3","2019","2","28","4378"
"000000001594","2","2019","2","28","1811"
"000000001711","5","2019","2","28","429"
"000000020801","7","2019","2","28","152"
"000000020907","3","2019","2","28","1197"
"000000020591","5","2019","2","28","80"
"000000001271","6","2019","2","28","143"
"000000001831","3","2019","2","28","442"
"000000001281","1","2019","2","28","53"
"000000001622","1","2019","2","28","8"
