"cosit","class","year","month","day","VehicleCount"
"000000001012","6","2020","2","13","4164"
"000000001581","2","2020","2","13","2751"
"000000001771","6","2020","2","13","185"
"000000020088","6","2020","2","13","984"
"000000020255","3","2020","2","13","803"
"000000001500","1","2020","2","13","344"
"000000001622","1","2020","2","13","3"
"000000020802","2","2020","2","13","3154"
"000000001056","5","2020","2","13","57"
"000000001254","3","2020","2","13","499"
"000000020014","4","2020","2","13","272"
"000000001594","2","2020","2","13","953"
"000000001703","6","2020","2","13","76"
"000000020033","3","2020","2","13","574"
"000000020907","3","2020","2","13","619"
"000000200171","5","2020","2","13","478"
"000000201321","4","2020","2","13","83"
"000000001211","5","2020","2","13","102"
"000000020801","4","2020","2","13","32"
"000000001679","1","2020","2","13","3"
"000000001102","1","2020","2","13","6"
"000000031041","7","2020","2","13","8"
"000000001714","6","2020","2","13","3"
"000000001258","3","2020","2","13","4214"
"000000001716","2","2020","2","13","13941"
"000000003802","2","2020","2","13","5806"
"000000020018","4","2020","2","13","157"
"000000020091","3","2020","2","13","1681"
"000000020091","6","2020","2","13","749"
"000000020118","3","2020","2","13","2847"
"000000020224","2","2020","2","13","1887"
"000000020523","5","2020","2","13","283"
"000000001661","2","2020","2","13","1083"
"000000020075","7","2020","2","13","105"
"000000020254","5","2020","2","13","310"
"000000015001","4","2020","2","13","205"
"000000001090","7","2020","2","13","58"
"000000001225","5","2020","2","13","76"
"000000001173","7","2020","2","13","17"
"000000001253","1","2020","2","13","95"
"000000003172","4","2020","2","13","44"
"000000001051","7","2020","2","13","31"
"000000001252","1","2020","2","13","29"
"000000020242","4","2020","2","13","17"
"000000020561","7","2020","2","13","17"
"000000003182","1","2020","2","13","10"
"000000001503","2","2020","2","13","64769"
"000000015011","2","2020","2","13","32016"
"000000020021","6","2020","2","13","1780"
"000000020075","4","2020","2","13","196"
"000000020223","2","2020","2","13","5890"
"000000001842","2","2020","2","13","2640"
"000000020211","6","2020","2","13","219"
"000000020087","7","2020","2","13","68"
"000000003806","5","2020","2","13","15"
"000000001057","1","2020","2","13","4"
"000000001172","5","2020","2","13","89"
"000000001502","6","2020","2","13","5281"
"000000001523","2","2020","2","13","1906"
"000000001542","6","2020","2","13","252"
"000000020079","2","2020","2","13","10814"
"000000020171","6","2020","2","13","71"
"000000200720","0","2020","2","13","2"
"000000020153","6","2020","2","13","169"
"000000031021","6","2020","2","13","117"
"000000020254","7","2020","2","13","95"
"000000001052","4","2020","2","13","29"
"000000020252","1","2020","2","13","14"
"000000001722","4","2020","2","13","17"
"000000003172","1","2020","2","13","12"
"000000020088","1","2020","2","13","1"
"000000001069","3","2020","2","13","1266"
"000000001261","2","2020","2","13","3422"
"000000001601","2","2020","2","13","1298"
"000000001741","2","2020","2","13","1836"
"000000020051","3","2020","2","13","343"
"000000020061","2","2020","2","13","6983"
"000000020212","2","2020","2","13","6851"
"000000020243","2","2020","2","13","8128"
"000000031061","6","2020","2","13","1755"
"000000200711","2","2020","2","13","1495"
"000000200713","2","2020","2","13","21585"
"000000020042","2","2020","2","13","24743"
"000000001169","3","2020","2","13","248"
"000000020063","4","2020","2","13","99"
"000000001500","7","2020","2","13","159"
"000000001716","5","2020","2","13","319"
"000000001169","6","2020","2","13","88"
"000000020024","4","2020","2","13","49"
"000000001509","7","2020","2","13","260"
"000000001721","3","2020","2","13","338"
"000000020205","1","2020","2","13","47"
"000000001102","7","2020","2","13","42"
"000000001291","3","2020","2","13","168"
"000000001016","1","2020","2","13","20"
"000000001631","4","2020","2","13","10"
"000000001041","2","2020","2","13","10251"
"000000001141","4","2020","2","13","46"
"000000003171","5","2020","2","13","201"
"000000010113","2","2020","2","13","9671"
"000000015012","2","2020","2","13","22575"
"000000020074","6","2020","2","13","1815"
"000000003802","5","2020","2","13","179"
"000000001065","7","2020","2","13","124"
"000000020563","1","2020","2","13","14"
"000000200717","1","2020","2","13","4"
"000000020115","1","2020","2","13","28"
"000000001622","4","2020","2","13","14"
"000000001679","7","2020","2","13","8"
"000000001751","1","2020","2","13","2"
"000000001081","0","2020","2","13","2"
"000000001121","2","2020","2","13","1904"
"000000001201","2","2020","2","13","4721"
"000000001801","2","2020","2","13","2292"
"000000020014","5","2020","2","13","659"
"000000031061","3","2020","2","13","3099"
"000000200714","2","2020","2","13","9712"
"000000200719","6","2020","2","13","741"
"000000001223","3","2020","2","13","1159"
"000000001581","3","2020","2","13","328"
"000000001632","2","2020","2","13","2302"
"000000001291","6","2020","2","13","515"
"000000020908","1","2020","2","13","117"
"000000001072","7","2020","2","13","340"
"000000001151","5","2020","2","13","93"
"000000001021","7","2020","2","13","39"
"000000020044","7","2020","2","13","71"
"000000020224","5","2020","2","13","115"
"000000001281","7","2020","2","13","47"
"000000001017","0","2020","2","13","19"
"000000001661","5","2020","2","13","41"
"000000001053","4","2020","2","13","11"
"000000001058","1","2020","2","13","6"
"000000001182","1","2020","2","13","37"
"000000001191","0","2020","2","13","1"
"000000001225","3","2020","2","13","471"
"000000001771","2","2020","2","13","5743"
"000000003172","2","2020","2","13","6146"
"000000020018","2","2020","2","13","10634"
"000000020021","4","2020","2","13","221"
"000000020036","2","2020","2","13","1603"
"000000020182","2","2020","2","13","13117"
