"cosit","class","year","month","day","VehicleCount"
"000000001253","3","2020","2","6","4198"
"000000001703","3","2020","2","6","851"
"000000001721","2","2020","2","6","3286"
"000000003172","6","2020","2","6","422"
"000000020091","5","2020","2","6","328"
"000000020242","6","2020","2","6","474"
"000000020256","5","2020","2","6","554"
"000000200812","3","2020","2","6","1076"
"000000001222","3","2020","2","6","607"
"000000001258","5","2020","2","6","920"
"000000001271","3","2020","2","6","954"
"000000020078","5","2020","2","6","437"
"000000020182","6","2020","2","6","577"
"000000001242","3","2020","2","6","964"
"000000001291","2","2020","2","6","1100"
"000000001623","6","2020","2","6","165"
"000000020524","5","2020","2","6","142"
"000000001722","6","2020","2","6","58"
"000000001842","4","2020","2","6","10"
"000000001013","7","2020","2","6","25"
"000000020801","4","2020","2","6","30"
"000000001711","7","2020","2","6","19"
"000000001070","6","2020","2","6","3985"
"000000001223","6","2020","2","6","216"
"000000001401","2","2020","2","6","28711"
"000000020094","2","2020","2","6","5250"
"000000020116","3","2020","2","6","1032"
"000000020905","2","2020","2","6","6847"
"000000200717","4","2020","2","6","90"
"000000201082","3","2020","2","6","1030"
"000000020051","6","2020","2","6","300"
"000000001301","5","2020","2","6","140"
"000000020115","4","2020","2","6","90"
"000000001851","3","2020","2","6","335"
"000000001281","5","2020","2","6","260"
"000000001102","5","2020","2","6","73"
"000000020184","4","2020","2","6","132"
"000000001812","1","2020","2","6","29"
"000000020024","7","2020","2","6","39"
"000000020066","6","2020","2","6","15"
"000000001033","5","2020","2","6","1006"
"000000001069","2","2020","2","6","18168"
"000000001113","5","2020","2","6","774"
"000000001507","6","2020","2","6","961"
"000000001509","1","2020","2","6","327"
"000000001581","2","2020","2","6","3038"
"000000020018","6","2020","2","6","1628"
"000000020071","5","2020","2","6","1892"
"000000001111","3","2020","2","6","762"
"000000015010","5","2020","2","6","972"
"000000020252","3","2020","2","6","839"
"000000001052","6","2020","2","6","145"
"000000020255","3","2020","2","6","883"
"000000020067","5","2020","2","6","83"
"000000020221","4","2020","2","6","48"
"000000015011","7","2020","2","6","138"
"000000001651","5","2020","2","6","77"
"000000020253","7","2020","2","6","63"
"000000001021","1","2020","2","6","24"
"000000020202","7","2020","2","6","26"
"000000001716","1","2020","2","6","69"
"000000001717","5","2020","2","6","68"
