"cosit","class","year","month","day","VehicleCount"
"000000001011","4","2020","2","12","835"
"000000001013","3","2020","2","12","2421"
"000000001034","6","2020","2","12","1183"
"000000001052","5","2020","2","12","189"
"000000001258","6","2020","2","12","1148"
"000000001281","2","2020","2","12","12955"
"000000001509","2","2020","2","12","65596"
"000000015011","3","2020","2","12","4809"
"000000020016","6","2020","2","12","1314"
"000000020202","3","2020","2","12","505"
"000000020223","3","2020","2","12","979"
"000000200171","6","2020","2","12","1514"
"000000001507","7","2020","2","12","157"
"000000001271","4","2020","2","12","75"
"000000020561","5","2020","2","12","87"
"000000001722","5","2020","2","12","69"
"000000001703","4","2020","2","12","23"
"000000001031","5","2020","2","12","48"
"000000001771","7","2020","2","12","57"
"000000001254","4","2020","2","12","16"
"000000001111","7","2020","2","12","22"
"000000001252","4","2020","2","12","58"
"000000001169","1","2020","2","12","4"
"000000020036","7","2020","2","12","19"
"000000001065","2","2020","2","12","23096"
"000000001072","2","2020","2","12","46945"
"000000001679","2","2020","2","12","2299"
"000000015010","6","2020","2","12","817"
"000000020018","7","2020","2","12","80"
"000000020071","6","2020","2","12","4092"
"000000020075","5","2020","2","12","651"
"000000200812","4","2020","2","12","101"
"000000001711","3","2020","2","12","1399"
"000000001253","4","2020","2","12","92"
"000000003172","7","2020","2","12","42"
"000000001723","5","2020","2","12","84"
"000000003182","4","2020","2","12","33"
"000000020032","6","2020","2","12","69"
"000000001593","7","2020","2","12","36"
"000000200720","1","2020","2","12","10"
"000000201082","0","2020","2","12","1"
"000000001021","6","2020","2","12","599"
"000000001092","2","2020","2","12","9367"
"000000001500","3","2020","2","12","8099"
"000000001509","6","2020","2","12","1585"
"000000020044","3","2020","2","12","1268"
"000000020063","3","2020","2","12","1715"
"000000020074","5","2020","2","12","622"
"000000200720","5","2020","2","12","356"
"000000001721","7","2020","2","12","11"
"000000001053","3","2020","2","12","336"
"000000020251","5","2020","2","12","72"
"000000020022","4","2020","2","12","89"
"000000020051","7","2020","2","12","28"
"000000001693","5","2020","2","12","35"
"000000001069","7","2020","2","12","109"
"000000200714","1","2020","2","12","13"
"000000001561","4","2020","2","12","8"
"000000001741","1","2020","2","12","4"
"000000020151","0","2020","2","12","1"
"000000001013","5","2020","2","12","300"
"000000001043","2","2020","2","12","4738"
"000000001252","6","2020","2","12","319"
"000000001523","5","2020","2","12","96"
"000000020079","5","2020","2","12","470"
"000000200719","3","2020","2","12","1053"
"000000200720","3","2020","2","12","1507"
"000000201082","2","2020","2","12","7425"
"000000208001","6","2020","2","12","190"
"000000001072","4","2020","2","12","443"
"000000003805","2","2020","2","12","1006"
"000000020205","1","2020","2","12","40"
"000000020063","1","2020","2","12","6"
"000000020251","6","2020","2","12","296"
"000000001169","3","2020","2","12","270"
"000000001151","7","2020","2","12","15"
"000000001102","4","2020","2","12","10"
"000000001871","2","2020","2","12","13"
"000000001054","1","2020","2","12","12"
"000000001701","6","2020","2","12","2"
"000000001031","6","2020","2","12","45"
"000000001114","2","2020","2","12","18022"
"000000015001","3","2020","2","12","4428"
"000000020021","5","2020","2","12","1924"
"000000020086","4","2020","2","12","74"
"000000020087","6","2020","2","12","1083"
"000000020153","5","2020","2","12","94"
"000000001086","4","2020","2","12","63"
"000000001832","2","2020","2","12","378"
"000000020016","7","2020","2","12","59"
"000000200171","7","2020","2","12","83"
"000000020091","7","2020","2","12","87"
"000000015011","4","2020","2","12","80"
"000000001036","4","2020","2","12","11"
"000000020019","7","2020","2","12","87"
"000000020086","7","2020","2","12","62"
"000000001711","4","2020","2","12","55"
"000000020119","0","2020","2","12","7"
"000000020202","4","2020","2","12","58"
"000000001717","7","2020","2","12","14"
"000000001034","7","2020","2","12","105"
"000000015010","7","2020","2","12","120"
"000000020801","1","2020","2","12","2"
"000000001842","1","2020","2","12","2"
"000000001013","4","2020","2","12","315"
"000000001507","3","2020","2","12","5541"
"000000001761","2","2020","2","12","2556"
"000000020032","4","2020","2","12","68"
"000000020172","3","2020","2","12","1011"
"000000020182","3","2020","2","12","2618"
"000000200720","2","2020","2","12","7124"
"000000001051","3","2020","2","12","448"
"000000001503","1","2020","2","12","156"
"000000200171","4","2020","2","12","130"
"000000020251","2","2020","2","12","2326"
"000000001723","6","2020","2","12","52"
"000000020036","3","2020","2","12","248"
"000000020253","4","2020","2","12","53"
"000000020014","1","2020","2","12","78"
"000000020223","4","2020","2","12","14"
"000000001211","7","2020","2","12","24"
"000000003802","1","2020","2","12","9"
"000000003171","1","2020","2","12","7"
"000000020591","4","2020","2","12","8"
"000000020256","7","2020","2","12","68"
"000000001523","1","2020","2","12","9"
"000000001252","2","2020","2","12","7216"
"000000020033","2","2020","2","12","4400"
"000000020074","2","2020","2","12","20387"
"000000020254","6","2020","2","12","71"
"000000001052","3","2020","2","12","754"
"000000001113","7","2020","2","12","128"
"000000001722","3","2020","2","12","333"
"000000001623","3","2020","2","12","255"
"000000020242","3","2020","2","12","572"
"000000001258","7","2020","2","12","140"
"000000020079","1","2020","2","12","56"
"000000020071","7","2020","2","12","307"
"000000001056","7","2020","2","12","11"
"000000020118","7","2020","2","12","89"
"000000020185","7","2020","2","12","44"
"000000001694","5","2020","2","12","55"
"000000001072","0","2020","2","12","4"
"000000020224","1","2020","2","12","11"
"000000001500","0","2020","2","12","6"
"000000001016","5","2020","2","12","812"
"000000001121","6","2020","2","12","108"
"000000001505","6","2020","2","12","973"
"000000001624","2","2020","2","12","1999"
"000000001811","2","2020","2","12","4758"
"000000005045","3","2020","2","12","1303"
"000000015012","6","2020","2","12","628"
"000000020023","3","2020","2","12","571"
"000000020083","3","2020","2","12","895"
"000000020117","3","2020","2","12","1023"
"000000020243","6","2020","2","12","310"
"000000200711","6","2020","2","12","112"
"000000020115","5","2020","2","12","244"
"000000020152","4","2020","2","12","28"
"000000001044","4","2020","2","12","426"
"000000001751","5","2020","2","12","52"
"000000001035","7","2020","2","12","44"
"000000020013","1","2020","2","12","127"
"000000001058","5","2020","2","12","113"
"000000001092","7","2020","2","12","74"
"000000001256","7","2020","2","12","124"
"000000001022","1","2020","2","12","16"
"000000020811","7","2020","2","12","31"
"000000001812","7","2020","2","12","19"
"000000001038","1","2020","2","12","7"
"000000001133","1","2020","2","12","3"
"000000001014","4","2020","2","12","1230"
"000000001504","3","2020","2","12","9048"
"000000001506","2","2020","2","12","54649"
"000000001621","2","2020","2","12","4081"
"000000001741","6","2020","2","12","59"
"000000003111","4","2020","2","12","75"
"000000010113","6","2020","2","12","444"
"000000020061","6","2020","2","12","735"
"000000020205","5","2020","2","12","467"
"000000020212","3","2020","2","12","1159"
"000000200713","6","2020","2","12","971"
"000000200713","3","2020","2","12","1914"
"000000200717","5","2020","2","12","255"
"000000020525","1","2020","2","12","23"
"000000001261","3","2020","2","12","548"
"000000001182","5","2020","2","12","147"
"000000001601","3","2020","2","12","178"
"000000020222","4","2020","2","12","44"
"000000001243","4","2020","2","12","18"
"000000020258","0","2020","2","12","5"
"000000020258","3","2020","2","12","3944"
"000000200716","5","2020","2","12","182"
"000000020204","7","2020","2","12","47"
"000000202301","3","2020","2","12","264"
"000000001602","5","2020","2","12","45"
"000000020181","7","2020","2","12","64"
"000000200718","7","2020","2","12","67"
"000000001781","3","2020","2","12","150"
"000000202639","4","2020","2","12","41"
"000000001042","7","2020","2","12","29"
"000000001172","4","2020","2","12","31"
"000000003172","0","2020","2","12","1"
"000000020621","4","2020","2","12","24"
"000000020242","0","2020","2","12","1"
"000000020523","1","2020","2","12","21"
"000000020031","1","2020","2","12","7"
"000000001013","6","2020","2","12","123"
"000000001622","2","2020","2","12","1920"
"000000003171","3","2020","2","12","1077"
"000000020014","3","2020","2","12","2750"
"000000020119","2","2020","2","12","12920"
"000000020522","6","2020","2","12","236"
"000000031031","7","2020","2","12","105"
"000000003802","3","2020","2","12","694"
"000000020221","6","2020","2","12","81"
"000000020522","3","2020","2","12","439"
"000000001253","7","2020","2","12","141"
"000000200720","4","2020","2","12","99"
"000000020172","5","2020","2","12","261"
"000000020183","7","2020","2","12","71"
"000000001114","4","2020","2","12","25"
"000000020802","1","2020","2","12","35"
"000000001012","7","2020","2","12","95"
"000000020255","7","2020","2","12","53"
"000000020907","7","2020","2","12","38"
"000000001701","7","2020","2","12","8"
"000000020066","1","2020","2","12","12"
"000000001594","1","2020","2","12","2"
"000000015012","0","2020","2","12","2"
"000000001254","7","2020","2","12","16"
"000000015011","6","2020","2","12","774"
"000000020079","3","2020","2","12","2136"
"000000020202","6","2020","2","12","226"
"000000001711","6","2020","2","12","305"
"000000001523","3","2020","2","12","292"
"000000020011","4","2020","2","12","522"
"000000020018","5","2020","2","12","426"
"000000200812","7","2020","2","12","44"
"000000208001","7","2020","2","12","42"
"000000001111","5","2020","2","12","144"
"000000020051","1","2020","2","12","5"
"000000020042","0","2020","2","12","17"
"000000001201","0","2020","2","12","2"
"000000020033","4","2020","2","12","63"
"000000001011","7","2020","2","12","17"
"000000001522","7","2020","2","12","29"
"000000020251","4","2020","2","12","28"
"000000001693","7","2020","2","12","18"
"000000001832","4","2020","2","12","3"
"000000001121","2","2020","2","12","1846"
"000000001500","4","2020","2","12","311"
"000000001503","5","2020","2","12","2889"
"000000001761","6","2020","2","12","164"
"000000015012","2","2020","2","12","22256"
"000000020011","3","2020","2","12","7081"
"000000020074","6","2020","2","12","1773"
"000000020119","4","2020","2","12","146"
"000000031061","3","2020","2","12","3183"
"000000200711","2","2020","2","12","1529"
"000000001086","5","2020","2","12","227"
"000000020111","2","2020","2","12","34065"
"000000001021","4","2020","2","12","49"
"000000001522","6","2020","2","12","241"
"000000003171","5","2020","2","12","219"
"000000001065","4","2020","2","12","101"
"000000031041","5","2020","2","12","81"
"000000020033","6","2020","2","12","37"
"000000001631","4","2020","2","12","15"
"000000001011","6","2020","2","12","839"
"000000001069","3","2020","2","12","1405"
"000000001114","6","2020","2","12","621"
"000000001281","4","2020","2","12","46"
"000000001501","6","2020","2","12","4743"
"000000001505","2","2020","2","12","56372"
"000000003182","6","2020","2","12","408"
"000000003801","3","2020","2","12","743"
"000000020112","2","2020","2","12","25018"
