"cosit","class","year","month","day","VehicleCount"
"000000001071","1","2019","2","27","289"
"000000001504","3","2019","2","27","16659"
"000000001506","2","2019","2","27","100555"
"000000001602","2","2019","2","27","3749"
"000000001801","6","2019","2","27","191"
"000000020047","3","2019","2","27","10332"
"000000020077","3","2019","2","27","3533"
"000000020083","3","2019","2","27","1789"
"000000020111","6","2019","2","27","1364"
"000000020117","3","2019","2","27","1842"
"000000020243","6","2019","2","27","522"
"000000020601","2","2019","2","27","4993"
"000000001201","3","2019","2","27","1367"
"000000001624","2","2019","2","27","3837"
"000000020061","3","2019","2","27","1875"
"000000020093","4","2019","2","27","90"
"000000020212","3","2019","2","27","2209"
"000000001182","5","2019","2","27","268"
"000000200711","6","2019","2","27","286"
"000000001601","3","2019","2","27","250"
"000000001044","4","2019","2","27","705"
"000000003111","4","2019","2","27","125"
"000000001751","5","2019","2","27","91"
"000000001221","1","2019","2","27","46"
"000000001121","6","2019","2","27","249"
"000000001035","7","2019","2","27","168"
"000000001256","7","2019","2","27","336"
"000000020525","1","2019","2","27","29"
"000000001871","6","2019","2","27","62"
"000000001133","1","2019","2","27","35"
"000000001191","4","2019","2","27","25"
"000000020034","1","2019","2","27","23"
"000000020258","0","2019","2","27","13"
"000000201081","0","2019","2","27","2"
"000000001033","2","2019","2","27","53688"
"000000001046","6","2019","2","27","364"
"000000001171","5","2019","2","27","218"
"000000001508","4","2019","2","27","684"
"000000020012","6","2019","2","27","3487"
"000000020016","2","2019","2","27","17736"
"000000020019","2","2019","2","27","27154"
"000000020041","5","2019","2","27","1338"
"000000020067","2","2019","2","27","3154"
"000000020078","2","2019","2","27","22872"
"000000020082","6","2019","2","27","543"
"000000020085","4","2019","2","27","148"
"000000020089","3","2019","2","27","1365"
"000000020185","2","2019","2","27","9067"
"000000020254","1","2019","2","27","253"
"000000020256","2","2019","2","27","35484"
"000000020258","6","2019","2","27","1878"
"000000020524","2","2019","2","27","6631"
"000000001717","2","2019","2","27","2292"
"000000200718","5","2019","2","27","426"
"000000202103","3","2019","2","27","859"
"000000001101","4","2019","2","27","49"
"000000001282","6","2019","2","27","549"
"000000001731","3","2019","2","27","356"
"000000020073","1","2019","2","27","39"
"000000001651","2","2019","2","27","2736"
"000000020092","4","2019","2","27","133"
"000000202104","5","2019","2","27","308"
"000000001172","7","2019","2","27","46"
"000000001552","5","2019","2","27","170"
"000000001781","6","2019","2","27","98"
"000000001551","4","2019","2","27","35"
"000000001803","5","2019","2","27","143"
"000000001715","3","2019","2","27","790"
"000000001811","5","2019","2","27","573"
"000000020523","1","2019","2","27","50"
"000000001255","1","2019","2","27","112"
"000000001593","0","2019","2","27","2"
"000000001042","7","2019","2","27","50"
"000000001225","4","2019","2","27","11"
"000000003807","3","2019","2","27","60"
"000000020611","4","2019","2","27","41"
"000000020812","7","2019","2","27","44"
"000000001253","0","2019","2","27","5"
"000000001271","0","2019","2","27","1"
"000000003806","4","2019","2","27","5"
"000000001015","3","2019","2","27","6231"
"000000001023","5","2019","2","27","565"
"000000001113","2","2019","2","27","71127"
"000000001251","3","2019","2","27","1152"
"000000001258","2","2019","2","27","66267"
"000000001841","3","2019","2","27","1821"
"000000015002","3","2019","2","27","10000"
"000000020012","3","2019","2","27","9739"
"000000020046","3","2019","2","27","1060"
"000000020065","3","2019","2","27","3592"
"000000020071","2","2019","2","27","64083"
"000000020089","6","2019","2","27","1679"
"000000020091","2","2019","2","27","18212"
"000000020118","2","2019","2","27","29151"
"000000020258","3","2019","2","27","6624"
"000000201081","6","2019","2","27","761"
"000000202301","6","2019","2","27","164"
"000000001251","6","2019","2","27","617"
"000000001508","7","2019","2","27","971"
"000000001521","3","2019","2","27","969"
"000000001524","3","2019","2","27","1165"
"000000001541","6","2019","2","27","445"
"000000001624","5","2019","2","27","120"
"000000001694","2","2019","2","27","2714"
"000000001621","5","2019","2","27","299"
"000000020031","4","2019","2","27","137"
"000000001131","5","2019","2","27","240"
"000000020181","5","2019","2","27","446"
"000000020062","1","2019","2","27","33"
"000000003807","6","2019","2","27","71"
"000000020621","7","2019","2","27","79"
"000000020526","7","2019","2","27","62"
"000000001101","7","2019","2","27","63"
"000000020087","1","2019","2","27","32"
"000000001692","4","2019","2","27","37"
"000000001012","0","2019","2","27","6"
"000000001111","0","2019","2","27","1"
"000000001242","0","2019","2","27","1"
"000000001012","2","2019","2","27","70981"
