"cosit","class","year","month","day","VehicleCount"
"000000001021","6","2019","2","16","410"
"000000001035","2","2019","2","16","9019"
"000000001053","3","2019","2","16","431"
"000000001256","2","2019","2","16","49619"
"000000001500","3","2019","2","16","10572"
"000000001509","6","2019","2","16","898"
"000000001622","3","2019","2","16","470"
"000000001679","6","2019","2","16","20"
"000000001812","2","2019","2","16","23251"
"000000020811","2","2019","2","16","2735"
"000000031031","5","2019","2","16","285"
"000000001114","5","2019","2","16","183"
"000000001151","6","2019","2","16","57"
"000000001631","3","2019","2","16","292"
"000000020521","3","2019","2","16","332"
"000000001252","5","2019","2","16","148"
"000000020116","4","2019","2","16","57"
"000000003182","5","2019","2","16","141"
"000000001871","1","2019","2","16","9"
"000000001102","6","2019","2","16","21"
"000000031061","7","2019","2","16","183"
"000000001831","5","2019","2","16","44"
"000000001851","4","2019","2","16","11"
"000000020243","1","2019","2","16","44"
"000000200714","1","2019","2","16","30"
"000000020112","1","2019","2","16","87"
"000000200723","0","2019","2","16","26"
"000000001741","1","2019","2","16","20"
"000000020061","1","2019","2","16","11"
"000000001679","3","2019","2","16","51"
"000000001832","5","2019","2","16","19"
"000000020066","4","2019","2","16","13"
"000000020671","6","2019","2","16","4"
"000000001594","4","2019","2","16","6"
"000000200711","1","2019","2","16","12"
"000000001112","0","2019","2","16","1"
"000000001321","0","2019","2","16","2"
"000000001045","2","2019","2","16","6100"
"000000001072","3","2019","2","16","6902"
"000000001092","2","2019","2","16","13045"
"000000001223","7","2019","2","16","250"
"000000001281","3","2019","2","16","1386"
"000000001312","2","2019","2","16","12372"
"000000020044","6","2019","2","16","669"
"000000020044","3","2019","2","16","1450"
"000000020074","5","2019","2","16","304"
"000000020119","3","2019","2","16","1523"
"000000020184","2","2019","2","16","28141"
"000000200720","5","2019","2","16","227"
"000000001070","4","2019","2","16","325"
"000000001561","4","2019","2","16","24"
"000000020251","5","2019","2","16","25"
"000000020022","4","2019","2","16","71"
"000000001801","1","2019","2","16","21"
"000000020033","5","2019","2","16","44"
"000000020051","4","2019","2","16","16"
"000000200719","7","2019","2","16","78"
"000000020051","7","2019","2","16","63"
"000000001581","4","2019","2","16","19"
"000000020111","1","2019","2","16","225"
"000000001693","5","2019","2","16","23"
"000000020802","4","2019","2","16","53"
"000000001121","1","2019","2","16","7"
"000000001761","5","2019","2","16","59"
"000000001505","1","2019","2","16","170"
"000000020201","1","2019","2","16","49"
"000000001522","5","2019","2","16","45"
"000000001721","7","2019","2","16","40"
"000000015012","1","2019","2","16","102"
"000000001721","4","2019","2","16","16"
"000000001581","7","2019","2","16","69"
"000000003804","0","2019","2","16","1"
"000000001211","2","2019","2","16","7745"
"000000001621","5","2019","2","16","92"
"000000001731","6","2019","2","16","107"
"000000001841","3","2019","2","16","1255"
"000000020012","6","2019","2","16","1087"
"000000020016","2","2019","2","16","19350"
"000000020041","5","2019","2","16","374"
"000000020065","3","2019","2","16","2142"
"000000020067","2","2019","2","16","2794"
"000000020078","2","2019","2","16","23375"
"000000020082","6","2019","2","16","206"
"000000020091","2","2019","2","16","17034"
"000000020256","2","2019","2","16","28917"
"000000020258","6","2019","2","16","469"
"000000020524","2","2019","2","16","5864"
"000000001171","5","2019","2","16","96"
"000000001251","6","2019","2","16","221"
"000000020075","1","2019","2","16","112"
"000000020181","5","2019","2","16","121"
"000000020701","3","2019","2","16","241"
"000000202301","6","2019","2","16","55"
"000000001715","3","2019","2","16","558"
"000000001172","7","2019","2","16","36"
"000000001811","5","2019","2","16","133"
"000000020031","4","2019","2","16","100"
"000000001717","2","2019","2","16","2438"
"000000001541","6","2019","2","16","90"
"000000001551","4","2019","2","16","12"
"000000020092","7","2019","2","16","123"
"000000001101","7","2019","2","16","28"
"000000001131","5","2019","2","16","76"
"000000020611","4","2019","2","16","37"
"000000001255","1","2019","2","16","43"
"000000003806","4","2019","2","16","1"
"000000001012","0","2019","2","16","2"
"000000001242","0","2019","2","16","1"
"000000001253","0","2019","2","16","1"
"000000001593","0","2019","2","16","2"
"000000001015","3","2019","2","16","3232"
"000000001033","2","2019","2","16","46510"
"000000001034","2","2019","2","16","60835"
"000000001113","2","2019","2","16","65641"
"000000001258","2","2019","2","16","53324"
"000000001524","3","2019","2","16","745"
"000000001651","2","2019","2","16","2580"
"000000015002","3","2019","2","16","6376"
"000000015010","2","2019","2","16","55241"
"000000020019","2","2019","2","16","23306"
"000000020046","3","2019","2","16","746"
"000000020071","2","2019","2","16","58938"
"000000020089","6","2019","2","16","541"
"000000020118","2","2019","2","16","23774"
"000000020185","2","2019","2","16","9717"
"000000020254","1","2019","2","16","195"
"000000200718","5","2019","2","16","131"
"000000001282","6","2019","2","16","69"
"000000001521","3","2019","2","16","572"
"000000003807","6","2019","2","16","14"
"000000020085","4","2019","2","16","136"
"000000202103","3","2019","2","16","495"
"000000001552","5","2019","2","16","82"
"000000001023","5","2019","2","16","152"
"000000001508","7","2019","2","16","543"
"000000020092","4","2019","2","16","111"
"000000202104","5","2019","2","16","161"
"000000001781","6","2019","2","16","29"
"000000001803","5","2019","2","16","36"
"000000001731","3","2019","2","16","168"
"000000020611","7","2019","2","16","76"
"000000020073","1","2019","2","16","29"
"000000001692","4","2019","2","16","9"
"000000020621","7","2019","2","16","74"
"000000020523","1","2019","2","16","45"
"000000020526","7","2019","2","16","41"
"000000020812","7","2019","2","16","45"
"000000020087","1","2019","2","16","15"
"000000001132","6","2019","2","16","156"
"000000001506","5","2019","2","16","836"
"000000001712","6","2019","2","16","160"
"000000020084","5","2019","2","16","170"
"000000020089","3","2019","2","16","700"
"000000020258","3","2019","2","16","3746"
"000000020041","7","2019","2","16","199"
"000000001781","3","2019","2","16","164"
"000000020031","1","2019","2","16","26"
"000000001131","7","2019","2","16","66"
"000000202104","7","2019","2","16","57"
"000000001172","4","2019","2","16","56"
"000000001803","7","2019","2","16","57"
"000000020085","1","2019","2","16","34"
"000000020062","1","2019","2","16","30"
"000000003807","3","2019","2","16","27"
"000000020812","4","2019","2","16","5"
"000000001173","0","2019","2","16","1"
"000000001671","6","2019","2","16","2"
"000000001014","3","2019","2","16","9494"
"000000001041","5","2019","2","16","185"
"000000001044","6","2019","2","16","1308"
"000000001055","3","2019","2","16","304"
"000000001073","2","2019","2","16","73462"
"000000001201","5","2019","2","16","146"
"000000001282","2","2019","2","16","3943"
"000000001541","2","2019","2","16","3762"
"000000001781","2","2019","2","16","2019"
"000000003111","6","2019","2","16","290"
"000000003173","3","2019","2","16","928"
"000000010113","5","2019","2","16","169"
"000000020042","5","2019","2","16","1055"
"000000020082","2","2019","2","16","4810"
"000000020093","3","2019","2","16","644"
"000000020222","6","2019","2","16","174"
"000000020257","6","2019","2","16","401"
"000000200716","4","2019","2","16","137"
"000000020203","4","2019","2","16","196"
"000000200721","7","2019","2","16","134"
"000000020243","5","2019","2","16","117"
"000000200811","7","2019","2","16","87"
"000000200811","4","2019","2","16","208"
"000000001782","3","2019","2","16","336"
"000000020151","4","2019","2","16","66"
"000000020212","5","2019","2","16","179"
"000000200713","5","2019","2","16","311"
"000000001243","3","2019","2","16","455"
"000000200723","7","2019","2","16","230"
"000000001741","5","2019","2","16","51"
"000000020186","7","2019","2","16","138"
"000000001312","6","2019","2","16","37"
"000000020045","7","2019","2","16","68"
"000000001602","4","2019","2","16","17"
"000000001321","7","2019","2","16","68"
"000000020114","7","2019","2","16","132"
"000000001811","1","2019","2","16","49"
"000000001611","7","2019","2","16","74"
"000000020023","7","2019","2","16","73"
"000000003181","4","2019","2","16","62"
"000000020113","4","2019","2","16","19"
"000000020861","4","2019","2","16","25"
"000000001311","7","2019","2","16","5"
"000000001621","1","2019","2","16","8"
"000000001508","0","2019","2","16","8"
"000000001511","4","2019","2","16","8"
"000000001025","4","2019","2","16","1"
"000000001022","7","2019","2","16","99"
"000000001042","2","2019","2","16","5154"
"000000001112","6","2019","2","16","217"
"000000001172","2","2019","2","16","4683"
"000000001321","6","2019","2","16","163"
"000000001691","3","2019","2","16","524"
"000000003804","6","2019","2","16","596"
"000000020013","4","2019","2","16","374"
"000000020076","7","2019","2","16","213"
"000000020093","5","2019","2","16","78"
"000000020094","6","2019","2","16","249"
"000000020113","3","2019","2","16","88"
"000000020114","6","2019","2","16","289"
"000000020203","3","2019","2","16","2027"
"000000200722","6","2019","2","16","496"
"000000200723","6","2019","2","16","2113"
"000000200811","6","2019","2","16","345"
"000000001511","3","2019","2","16","323"
"000000020257","5","2019","2","16","403"
"000000200716","3","2019","2","16","582"
"000000201081","1","2019","2","16","308"
"000000001282","1","2019","2","16","16"
"000000001311","6","2019","2","16","71"
"000000001592","6","2019","2","16","12"
"000000020258","1","2019","2","16","151"
"000000001602","3","2019","2","16","248"
"000000020525","7","2019","2","16","40"
"000000001133","7","2019","2","16","85"
"000000001511","6","2019","2","16","31"
"000000020089","1","2019","2","16","11"
"000000001512","4","2019","2","16","5"
"000000020082","1","2019","2","16","33"
"000000202301","1","2019","2","16","14"
"000000020153","0","2019","2","16","2"
"000000020113","6","2019","2","16","1"
"000000001531","0","2019","2","16","1"
"000000001033","4","2019","2","16","414"
"000000001034","4","2019","2","16","672"
"000000001113","4","2019","2","16","308"
"000000001222","2","2019","2","16","6368"
"000000001255","3","2019","2","16","2811"
"000000001271","2","2019","2","16","13998"
"000000001501","2","2019","2","16","100420"
"000000001524","5","2019","2","16","111"
"000000001593","2","2019","2","16","3100"
"000000001715","5","2019","2","16","48"
"000000003182","2","2019","2","16","7882"
"000000015010","4","2019","2","16","170"
"000000020019","4","2019","2","16","391"
"000000020062","6","2019","2","16","507"
"000000020065","5","2019","2","16","324"
"000000020087","3","2019","2","16","903"
"000000020254","3","2019","2","16","1412"
"000000020255","2","2019","2","16","9043"
"000000001258","4","2019","2","16","92"
"000000020078","7","2019","2","16","174"
"000000001701","2","2019","2","16","1220"
"000000001841","5","2019","2","16","103"
"000000020256","4","2019","2","16","94"
"000000001211","4","2019","2","16","63"
"000000020118","4","2019","2","16","140"
"000000001531","5","2019","2","16","41"
"000000001542","5","2019","2","16","71"
"000000202103","5","2019","2","16","110"
"000000031021","5","2019","2","16","21"
"000000001711","1","2019","2","16","33"
"000000020185","4","2019","2","16","74"
"000000015011","1","2019","2","16","125"
"000000020223","1","2019","2","16","28"
"000000020253","1","2019","2","16","50"
"000000020701","5","2019","2","16","23"
"000000020524","4","2019","2","16","32"
"000000020032","1","2019","2","16","34"
"000000020202","1","2019","2","16","15"
"000000001036","1","2019","2","16","8"
"000000001717","4","2019","2","16","4"
"000000031041","1","2019","2","16","3"
